iter	Passed	Remaining
445	1131	1405
446	1133	1402
447	1134	1398
448	1137	1395
449	1139	1392
450	1140	1388
451	1142	1384
452	1143	1380
453	1144	1376
454	1146	1372
455	1147	1369
456	1149	1365
457	1151	1362
458	1153	1359
459	1155	1356
460	1156	1352
461	1157	1348
462	1159	1344
463	1161	1341
464	1162	1337
465	1164	1333
466	1167	1332
467	1168	1328
468	1170	1324
469	1171	1320
470	1172	1317
471	1174	1313
472	1175	1309
473	1177	1306
474	1178	1302
475	1181	1300
476	1183	1297
477	1184	1293
478	1186	1289
479	1188	1287
480	1189	1283
481	1190	1279
482	1192	1276
483	1193	1272
484	1197	1271
485	1199	1268
486	1200	1264
487	1202	1261
488	1204	1258
489	1205	1255
490	1207	1251
491	1208	1247
492	1211	1246
493	1213	1243
494	1215	1239
495	1217	1237
496	1219	1233
497	1220	1230
498	1222	1226
499	1226	1226
500	1228	1223
501	1230	1221
502	1232	1218
503	1234	1215
504	1236	1211
505	1237	1208
506	1239	1204
507	1243	1204
508	1245	1201
509	1247	1198
510	1248	1194
511	1249	1191
512	1251	1187
513	1252	1183
514	1253	1180
515	1254	1176
516	1257	1175
517	1259	1172
518	1261	1169
519	1263	1166
520	1264	1162
521	1266	1159
522	1267	1156
523	1269	1152
524	1271	1150
525	1273	1147
526	1275	1144
527	1276	1141
528	1278	1138
529	1280	1135
530	1281	1132
531	1283	1129
532	1285	1126
533	1286	1123
534	1288	1119
535	1289	1116
536	1291	1113
537	1292	1109
538	1293	1106
539	1298	1105
540	1300	1103
541	1301	1099
542	1303	1096
543	1304	1093
544	1305	1090
545	1307	1086
546	1308	1083
547	1312	1082
548	1314	1079
549	1315	1076
550	1317	1073
551	1318	1069
552	1320	1066
553	1321	1063
554	1322	1060
555	1323	1057
556	1328	1056
557	1330	1053
558	1331	1050
559	1332	1047
560	1334	1044
561	1335	1040
562	1336	1037
563	1337	1034
564	1339	1031
565	1343	1030
566	1345	1027
567	1346	1024
568	1347	1020
569	1349	1017
570	1350	1014
571	1351	1011
572	1352	1007
573	1353	1004
574	1357	1003
575	1359	1000
576	1360	997
577	1362	994
578	1363	991
579	1364	988
580	1365	984
581	1366	981
582	1368	978
583	1372	977
584	1373	974
585	1375	971
586	1377	968
587	1378	965
588	1379	962
589	1380	959
590	1381	956
591	1383	953
592	1386	951
593	1388	948
594	1389	945
595	1391	943
596	1392	940
597	1393	936
598	1395	933
599	1396	930
600	1397	927
601	1398	924
602	1402	923
603	1403	920
604	1404	917
605	1406	914
606	1407	911
607	1408	908
608	1410	905
609	1411	902
610	1412	899
611	1416	897
612	1418	895
613	1419	892
614	1421	889
615	1422	886
616	1424	884
617	1426	881
618	1427	878
619	1429	876
620	1431	873
621	1433	870
622	1434	868
623	1435	865
624	1437	862
625	1438	859
626	1439	856
627	1440	853
628	1441	850
629	1443	847
630	1445	845
631	1447	842
632	1448	840
633	1450	837
634	1451	834
635	1452	831
636	1453	828
637	1455	825
638	1456	822
639	1457	819
640	1460	818
641	1462	815
642	1463	812
643	1466	810
644	1467	807
645	1470	805
646	1471	802
647	1476	802
648	1478	799
649	1480	796
650	1481	794
651	1483	791
652	1484	788
653	1486	786
654	1487	783
655	1491	782
656	1493	779
657	1494	776
658	1495	774
659	1497	771
660	1498	768
661	1500	765
662	1502	763
663	1506	762
664	1507	759
665	1509	756
666	1510	754
667	1511	751
668	1513	748
669	1514	745
670	1515	743
671	1516	740
672	1519	738
673	1522	736
674	1523	733
675	1524	730
676	1526	728
677	1527	725
678	1528	722
679	1529	719
680	1530	717
681	1532	714
682	1536	713
683	1538	710
684	1539	707
685	1541	705
686	1542	702
687	1543	700
688	1545	697
689	1546	694
690	1547	691
691	1551	690
692	1552	687
693	1553	684
694	1554	682
695	1556	679
696	1557	677
697	1558	674
698	1559	671
699	1560	668
700	1562	666
701	1565	664
702	1566	661
703	1568	659
704	1570	657
705	1571	654
706	1573	652
707	1574	649
708	1575	646
709	1578	644
710	1580	642
711	1581	639
712	1583	637
713	1584	634
714	1585	632
715	1586	629
716	1588	626
717	1589	624
718	1590	621
719	1594	620
720	1595	617
721	1596	614
722	1597	612
723	1598	609
724	1600	606
725	1601	604
726	1602	601
727	1603	599
728	1604	596
729	1606	594
730	1610	592
731	1611	590
732	1612	587
733	1614	584
734	1615	582
735	1616	579
736	1618	577
737	1619	574
738	1620	572
739	1621	569
740	1624	567
741	1625	565
742	1626	562
743	1627	560
744	1628	557
745	1630	555
746	1631	552
747	1632	549
748	1633	547
749	1634	544
750	1636	542
751	1639	540
752	1640	538
753	1641	535
754	1642	533
755	1644	530
756	1645	528
757	1646	525
758	1647	523
759	1648	520
760	1649	518
761	1650	515
762	1654	513
763	1655	511
764	1656	508
765	1657	506
766	1658	503
767	1659	501
768	1661	498
769	1662	496
770	1663	494
771	1664	491
772	1665	489
773	1669	487
774	1670	484
775	1671	482
776	1672	480
777	1674	477
778	1675	475
779	1676	472
780	1677	470
781	1678	468
782	1680	465
783	1681	463
784	1684	461
785	1685	458
786	1686	456
787	1687	454
788	1689	451
789	1691	449
790	1692	447
791	1693	444
792	1694	442
793	1695	439
794	1698	438
795	1700	435
796	1701	433
797	1702	431
798	1704	428
799	1705	426
800	1707	424
801	1708	421
802	1709	419
803	1710	417
804	1712	414
805	1714	412
806	1715	410
807	1716	407
808	1718	405
809	1720	403
810	1721	401
811	1722	398
812	1723	396
813	1724	394
814	1725	391
815	1729	389
816	1730	387
817	1731	385
818	1733	383
819	1734	380
820	1735	378
821	1736	376
822	1737	373
823	1739	371
824	1740	369
825	1743	367
826	1744	364
827	1746	362
828	1747	360
829	1748	358
830	1750	355
831	1751	353
832	1752	351
833	1753	349
834	1754	346
835	1757	344
836	1758	342
837	1760	340
838	1762	338
839	1764	336
840	1765	333
841	1766	331
842	1768	329
843	1769	327
844	1773	325
845	1774	323
846	1776	320
847	1777	318
848	1779	316
849	1780	314
850	1781	311
851	1783	309
852	1784	307
853	1787	305
854	1788	303
855	1789	301
856	1790	298
857	1792	296
858	1793	294
859	1794	292
860	1795	289
861	1796	287
862	1797	285
863	1798	283
864	1800	281
865	1802	278
866	1803	276
867	1805	274
868	1806	272
869	1808	270
870	1809	268
871	1810	265
872	1811	263
873	1813	261
874	1814	259
875	1816	257
876	1817	254
877	1818	252
878	1820	250
879	1821	248
880	1822	246
881	1823	243
882	1824	241
883	1825	239
884	1826	237
885	1828	235
886	1830	233
887	1832	231
888	1833	228
889	1835	226
890	1837	224
891	1838	222
892	1841	220
893	1843	218
894	1847	216
895	1849	214
896	1850	212
897	1852	210
898	1853	208
899	1855	206
900	1856	204
901	1857	201
902	1860	199
903	1863	197
904	1865	195
905	1866	193
906	1869	191
907	1870	189
908	1872	187
909	1874	185
910	1879	183
911	1880	181
912	1882	179
913	1884	177
914	1885	175
915	1887	173
916	1891	171
917	1893	169
918	1895	167
919	1897	164
920	1898	162
921	1901	160
922	1903	158
923	1907	156
924	1909	154
925	1910	152
926	1911	150
927	1913	148
928	1914	146
929	1916	144
930	1917	142
931	1919	140
932	1921	138
933	1923	135
934	1924	133
935	1926	131
936	1927	129
937	1929	127
938	1930	125
939	1931	123
940	1934	121
941	1936	119
942	1937	117
943	1938	115
944	1940	112
945	1941	110
946	1942	108
947	1944	106
948	1945	104
949	1946	102
950	1949	100
951	1950	98
952	1952	96
953	1953	94
954	1955	92
955	1956	90
956	1957	87
957	1958	85
958	1960	83
959	1961	81
960	1965	79
961	1966	77
962	1967	75
963	1969	73
964	1970	71
965	1972	69
966	1974	67
967	1975	65
968	1976	63
969	1979	61
970	1980	59
971	1982	57
972	1983	55
973	1985	52
974	1986	50
975	1988	48
976	1989	46
977	1990	44
978	1992	42
979	1994	40
980	1995	38
981	1997	36
982	1999	34
983	2000	32
984	2001	30
985	2003	28
986	2004	26
987	2005	24
988	2006	22
989	2009	20
990	2010	18
991	2012	16
992	2013	14
993	2015	12
994	2016	10
995	2018	8
996	2019	6
997	2021	4
998	2024	2
999	2025	0
